Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
 telefoon televisie internet,Alleenstaand,gemiddelde huur,1750,2019,63
 verzekeringen,Alleenstaand,gemiddelde huur,1750,2019,177
 onderwijs,Alleenstaand,gemiddelde huur,1750,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,1750,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,1750,2019,36
 vervoer,Alleenstaand,gemiddelde huur,1750,2019,112
VASTE LASTEN,Alleenstaand,gemiddelde huur,1750,2019,1.109
 kleding en schoenen,Alleenstaand,gemiddelde huur,1750,2019,65
 inventaris,Alleenstaand,gemiddelde huur,1750,2019,71
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,1750,2019,24
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,1750,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,1750,2019,137
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,1750,2019,336
 voeding,Alleenstaand,gemiddelde huur,1750,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,1750,2019,91
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,1750,2019,305
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,1750,2019,0
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,2000,2019,2.000
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,2000,2019,2.000
 huur/hypotheek,Alleenstaand,gemiddelde huur,2000,2019,555
 gas,Alleenstaand,gemiddelde huur,2000,2019,85
 elektriciteit,Alleenstaand,gemiddelde huur,2000,2019,35
 water,Alleenstaand,gemiddelde huur,2000,2019,10
 lokale lasten,Alleenstaand,gemiddelde huur,2000,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,2000,2019,69
 verzekeringen,Alleenstaand,gemiddelde huur,2000,2019,184
 onderwijs,Alleenstaand,gemiddelde huur,2000,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,2000,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,2000,2019,50
 vervoer,Alleenstaand,gemiddelde huur,2000,2019,189
VASTE LASTEN,Alleenstaand,gemiddelde huur,2000,2019,1.222
 kleding en schoenen,Alleenstaand,gemiddelde huur,2000,2019,78
 inventaris,Alleenstaand,gemiddelde huur,2000,2019,80
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,2000,2019,26
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,2000,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,2000,2019,225
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,2000,2019,446
 voeding,Alleenstaand,gemiddelde huur,2000,2019,214
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,2000,2019,118
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,2000,2019,332
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,2000,2019,0
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,2250,2019,2.250
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,2250,2019,2.235
 huur/hypotheek,Alleenstaand,gemiddelde huur,2250,2019,579
 gas,Alleenstaand,gemiddelde huur,2250,2019,87
 elektriciteit,Alleenstaand,gemiddelde huur,2250,2019,36
 water,Alleenstaand,gemiddelde huur,2250,2019,10
