Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,2
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,14
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,775
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,53
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,65
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,72
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,41
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,0
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,230
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,214
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,30
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,244
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,1,2019,0
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,0
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,1.343
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,340
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,59
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,183
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,21
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,21
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,802
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,53
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,65
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,72
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,41
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,40
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,270
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,214
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,56
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,270
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2,2019,0
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,2.000
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,2.000
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,606
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,63
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,195
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,55
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,110
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,1.206
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,62
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,93
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,91
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,42
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,150
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,438
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,236
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,120
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,356
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2000,2019,0
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,2.250
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,2.250
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,659
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,64
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,201
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,70
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,156
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,1.327
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,69
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,106
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,105
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,43
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,207
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,530
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,248
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,145
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,393
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2250,2019,0
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,2.500
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,2.500
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,702
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,66
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,208
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,84
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,205
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,1.442
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,77
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,118
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,121
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,45
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,267
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,628
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,261
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,169
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,430
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,2500,2019,0
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,3.000
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,3.000
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,849
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,68
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,219
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,106
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,289
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,1.708
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,94
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,138
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,157
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,49
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,369
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,807
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,284
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,202
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,485
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3000,2019,0
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,3.500
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,3.357
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,936
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,70
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,227
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,121
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,355
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,1.886
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,109
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,153
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,184
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,52
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,450
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,948
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,301
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,222
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,523
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,3500,2019,143
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,4.000
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,3.609
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,993
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,72
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,233
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,130
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,405
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,2.010
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,121
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,163
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,202
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,55
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,510
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,1.052
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,315
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,233
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,548
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4000,2019,391
TOTAAL INKOMEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,4.500
TOTAAL UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,3.906
 huur/hypotheek,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,1.091
 gas,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,87
 elektriciteit,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,36
 water,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,10
 lokale lasten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,44
 telefoon televisie internet,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,73
 verzekeringen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,239
 onderwijs,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,0
 kinderopvang,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,0
 contributies en abonnementen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,140
 vervoer,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,454
VASTE LASTEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,2.174
 kleding en schoenen,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,134
 inventaris,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,173
 onderhoud huis en tuin,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,224
 niet-vergoede ziektekosten,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,58
 vrijetijdsuitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,570
RESERVERINGSUITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,1.160
 voeding,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,328
 overige huishoudelijke uitgaven,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,244
HUISHOUDELIJKE UITGAVEN,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,572
OVERSCHOT/TEKORT,Alleenstaand AOW,1.5 keer gemiddelde hypotheek,4500,2019,594
TOTAAL INKOMEN,Eenouder met 1 kind,gemiddelde huur,1,2019,0
TOTAAL UITGAVEN,Eenouder met 1 kind,gemiddelde huur,1,2019,1.275
 huur/hypotheek,Eenouder met 1 kind,gemiddelde huur,1,2019,229
 gas,Eenouder met 1 kind,gemiddelde huur,1,2019,99
 elektriciteit,Eenouder met 1 kind,gemiddelde huur,1,2019,51
 water,Eenouder met 1 kind,gemiddelde huur,1,2019,13
 lokale lasten,Eenouder met 1 kind,gemiddelde huur,1,2019,59
 telefoon televisie internet,Eenouder met 1 kind,gemiddelde huur,1,2019,55
 verzekeringen,Eenouder met 1 kind,gemiddelde huur,1,2019,173
 onderwijs,Eenouder met 1 kind,gemiddelde huur,1,2019,5
 kinderopvang,Eenouder met 1 kind,gemiddelde huur,1,2019,0
 contributies en abonnementen,Eenouder met 1 kind,gemiddelde huur,1,2019,2
 vervoer,Eenouder met 1 kind,gemiddelde huur,1,2019,28
VASTE LASTEN,Eenouder met 1 kind,gemiddelde huur,1,2019,712
 kleding en schoenen,Eenouder met 1 kind,gemiddelde huur,1,2019,84
 inventaris,Eenouder met 1 kind,gemiddelde huur,1,2019,73
 onderhoud huis en tuin,Eenouder met 1 kind,gemiddelde huur,1,2019,23
 niet-vergoede ziektekosten,Eenouder met 1 kind,gemiddelde huur,1,2019,38
 vrijetijdsuitgaven,Eenouder met 1 kind,gemiddelde huur,1,2019,0
RESERVERINGSUITGAVEN,Eenouder met 1 kind,gemiddelde huur,1,2019,218
 voeding,Eenouder met 1 kind,gemiddelde huur,1,2019,299
 overige huishoudelijke uitgaven,Eenouder met 1 kind,gemiddelde huur,1,2019,46
HUISHOUDELIJKE UITGAVEN,Eenouder met 1 kind,gemiddelde huur,1,2019,345
OVERSCHOT/TEKORT,Eenouder met 1 kind,gemiddelde huur,1,2019,0
TOTAAL INKOMEN,Eenouder met 1 kind,gemiddelde huur,2,2019,0
TOTAAL UITGAVEN,Eenouder met 1 kind,gemiddelde huur,2,2019,1.414
 huur/hypotheek,Eenouder met 1 kind,gemiddelde huur,2,2019,229
 gas,Eenouder met 1 kind,gemiddelde huur,2,2019,99
 elektriciteit,Eenouder met 1 kind,gemiddelde huur,2,2019,51
 water,Eenouder met 1 kind,gemiddelde huur,2,2019,13
 lokale lasten,Eenouder met 1 kind,gemiddelde huur,2,2019,59
 telefoon televisie internet,Eenouder met 1 kind,gemiddelde huur,2,2019,55
 verzekeringen,Eenouder met 1 kind,gemiddelde huur,2,2019,173
 onderwijs,Eenouder met 1 kind,gemiddelde huur,2,2019,5
 kinderopvang,Eenouder met 1 kind,gemiddelde huur,2,2019,0
 contributies en abonnementen,Eenouder met 1 kind,gemiddelde huur,2,2019,33
 vervoer,Eenouder met 1 kind,gemiddelde huur,2,2019,38
VASTE LASTEN,Eenouder met 1 kind,gemiddelde huur,2,2019,753
 kleding en schoenen,Eenouder met 1 kind,gemiddelde huur,2,2019,84
 inventaris,Eenouder met 1 kind,gemiddelde huur,2,2019,73
 onderhoud huis en tuin,Eenouder met 1 kind,gemiddelde huur,2,2019,23
 niet-vergoede ziektekosten,Eenouder met 1 kind,gemiddelde huur,2,2019,38
 vrijetijdsuitgaven,Eenouder met 1 kind,gemiddelde huur,2,2019,58
RESERVERINGSUITGAVEN,Eenouder met 1 kind,gemiddelde huur,2,2019,276
 voeding,Eenouder met 1 kind,gemiddelde huur,2,2019,299
 overige huishoudelijke uitgaven,Eenouder met 1 kind,gemiddelde huur,2,2019,86
HUISHOUDELIJKE UITGAVEN,Eenouder met 1 kind,gemiddelde huur,2,2019,385
OVERSCHOT/TEKORT,Eenouder met 1 kind,gemiddelde huur,2,2019,0
TOTAAL INKOMEN,Eenouder met 1 kind,gemiddelde huur,1750,2019,1750
TOTAAL UITGAVEN,Eenouder met 1 kind,gemiddelde huur,1750,2019,1.750
 huur/hypotheek,Eenouder met 1 kind,gemiddelde huur,1750,2019,528
 gas,Eenouder met 1 kind,gemiddelde huur,1750,2019,100
 elektriciteit,Eenouder met 1 kind,gemiddelde huur,1750,2019,52
 water,Eenouder met 1 kind,gemiddelde huur,1750,2019,13
 lokale lasten,Eenouder met 1 kind,gemiddelde huur,1750,2019,59
 telefoon televisie internet,Eenouder met 1 kind,gemiddelde huur,1750,2019,56
 verzekeringen,Eenouder met 1 kind,gemiddelde huur,1750,2019,174
 onderwijs,Eenouder met 1 kind,gemiddelde huur,1750,2019,5
 kinderopvang,Eenouder met 1 kind,gemiddelde huur,1750,2019,0
 contributies en abonnementen,Eenouder met 1 kind,gemiddelde huur,1750,2019,36
 vervoer,Eenouder met 1 kind,gemiddelde huur,1750,2019,50
VASTE LASTEN,Eenouder met 1 kind,gemiddelde huur,1750,2019,1.071
 kleding en schoenen,Eenouder met 1 kind,gemiddelde huur,1750,2019,85
 inventaris,Eenouder met 1 kind,gemiddelde huur,1750,2019,74
 onderhoud huis en tuin,Eenouder met 1 kind,gemiddelde huur,1750,2019,23
 niet-vergoede ziektekosten,Eenouder met 1 kind,gemiddelde huur,1750,2019,38
 vrijetijdsuitgaven,Eenouder met 1 kind,gemiddelde huur,1750,2019,70
RESERVERINGSUITGAVEN,Eenouder met 1 kind,gemiddelde huur,1750,2019,290
 voeding,Eenouder met 1 kind,gemiddelde huur,1750,2019,299
 overige huishoudelijke uitgaven,Eenouder met 1 kind,gemiddelde huur,1750,2019,89
HUISHOUDELIJKE UITGAVEN,Eenouder met 1 kind,gemiddelde huur,1750,2019,388
OVERSCHOT/TEKORT,Eenouder met 1 kind,gemiddelde huur,1750,2019,0
TOTAAL INKOMEN,Eenouder met 1 kind,gemiddelde huur,2000,2019,2000
TOTAAL UITGAVEN,Eenouder met 1 kind,gemiddelde huur,2000,2019,2.000
 huur/hypotheek,Eenouder met 1 kind,gemiddelde huur,2000,2019,529
 gas,Eenouder met 1 kind,gemiddelde huur,2000,2019,104
 elektriciteit,Eenouder met 1 kind,gemiddelde huur,2000,2019,54
 water,Eenouder met 1 kind,gemiddelde huur,2000,2019,14
 lokale lasten,Eenouder met 1 kind,gemiddelde huur,2000,2019,59
 telefoon televisie internet,Eenouder met 1 kind,gemiddelde huur,2000,2019,63
 verzekeringen,Eenouder met 1 kind,gemiddelde huur,2000,2019,181
 onderwijs,Eenouder met 1 kind,gemiddelde huur,2000,2019,5
 kinderopvang,Eenouder met 1 kind,gemiddelde huur,2000,2019,0
 contributies en abonnementen,Eenouder met 1 kind,gemiddelde huur,2000,2019,56
 vervoer,Eenouder met 1 kind,gemiddelde huur,2000,2019,132
VASTE LASTEN,Eenouder met 1 kind,gemiddelde huur,2000,2019,1.195
 kleding en schoenen,Eenouder met 1 kind,gemiddelde huur,2000,2019,96
 inventaris,Eenouder met 1 kind,gemiddelde huur,2000,2019,82
 onderhoud huis en tuin,Eenouder met 1 kind,gemiddelde huur,2000,2019,25
 niet-vergoede ziektekosten,Eenouder met 1 kind,gemiddelde huur,2000,2019,38
 vrijetijdsuitgaven,Eenouder met 1 kind,gemiddelde huur,2000,2019,154
RESERVERINGSUITGAVEN,Eenouder met 1 kind,gemiddelde huur,2000,2019,395
 voeding,Eenouder met 1 kind,gemiddelde huur,2000,2019,299
 overige huishoudelijke uitgaven,Eenouder met 1 kind,gemiddelde huur,2000,2019,111
HUISHOUDELIJKE UITGAVEN,Eenouder met 1 kind,gemiddelde huur,2000,2019,410
OVERSCHOT/TEKORT,Eenouder met 1 kind,gemiddelde huur,2000,2019,0
TOTAAL INKOMEN,Eenouder met 1 kind,gemiddelde huur,2250,2019,2250
TOTAAL UITGAVEN,Eenouder met 1 kind,gemiddelde huur,2250,2019,2.250
 huur/hypotheek,Eenouder met 1 kind,gemiddelde huur,2250,2019,562
 gas,Eenouder met 1 kind,gemiddelde huur,2250,2019,107
 elektriciteit,Eenouder met 1 kind,gemiddelde huur,2250,2019,55
 water,Eenouder met 1 kind,gemiddelde huur,2250,2019,14
 lokale lasten,Eenouder met 1 kind,gemiddelde huur,2250,2019,59
 telefoon televisie internet,Eenouder met 1 kind,gemiddelde huur,2250,2019,68
 verzekeringen,Eenouder met 1 kind,gemiddelde huur,2250,2019,188
